Oceans,Regions,Measurement
Pacific Ocean,,0.013
Atlantic Ocean,,1368
Pacific Ocean,,0.001
Pacific Ocean,,0.00864
Atlantic Ocean,,0.138471
Atlantic Ocean,,0.009968
Atlantic Ocean,Mediterranean Sea,0.709184
Atlantic Ocean,North Sea,0.004425
Atlantic Ocean,,0.003088
Atlantic Ocean,,0.00216
Atlantic Ocean,,0.01296
Atlantic Ocean,,0.0048
Atlantic Ocean,,0.00648
Atlantic Ocean,,0.01944
Atlantic Ocean,,0.047516
Atlantic Ocean,,0.00432
Pacific Ocean,,8.294709
Pacific Ocean,,4.532856
Atlantic Ocean,Gulf of Mexico,2115.655853
Atlantic Ocean,,0.00864
Atlantic Ocean,,0.01296
Atlantic Ocean,,0.00648
Atlantic Ocean,,0.5
Pacific Ocean,,0.143
Pacific Ocean,Gulf of California,2115.655853
Atlantic Ocean,,0.008096
Pacific Ocean,,0.64902
Atlantic Ocean,Caribbean Sea,0.00432
Atlantic Ocean,Caribbean Sea,0.00216
Atlantic Ocean,,885
Atlantic Ocean,Caribbean Sea,0.043196
Atlantic Ocean,,0.057342
Atlantic Ocean,Inner Seas off the West Coast of Scotland,0.041614
Atlantic Ocean,Mediterranean Sea,0.9
Atlantic Ocean,,0.002088
Atlantic Ocean,,0.009256
Atlantic Ocean,,0.037788
Atlantic Ocean,Mediterranean Sea,2.381713
Atlantic Ocean,Mediterranean Sea,0.090741
Pacific Ocean,,10.282
Pacific Ocean,,5.903267
Pacific Ocean,,0.003
Pacific Ocean,,0.425735
Atlantic Ocean,,0.00864
Atlantic Ocean,,0.030236
Atlantic Ocean,,0.033
Pacific Ocean,,3.964016
Atlantic Ocean,,0.00432
Atlantic Ocean,,0.00432
Atlantic Ocean,,0.120952
Atlantic Ocean,,0.134988
Atlantic Ocean,,0.030236
Atlantic Ocean,Coastal Waters of Florida,0.003
Atlantic Ocean,,0.002
Atlantic Ocean,,0.017
Pacific Ocean,,2.206101
Pacific Ocean,Gulf of California,0.007
Atlantic Ocean,Caribbean Sea,0.00648
Atlantic Ocean,Caribbean Sea,0.00216
Atlantic Ocean,Caribbean Sea,0.004152
Atlantic Ocean,Caribbean Sea,0.01512
Pacific Ocean,,0.63396
Atlantic Ocean,Mediterranean Sea,0.066667
Atlantic Ocean,,4
Atlantic Ocean,Mediterranean Sea,0.020988
Atlantic Ocean,,0.216199
Atlantic Ocean,,0.739937
Atlantic Ocean,Mediterranean Sea,0.046479
Atlantic Ocean,Mediterranean Sea,0.584957
Atlantic Ocean,Mediterranean Sea,0.335
Atlantic Ocean,,0.00216
Atlantic Ocean,,1.120481
Atlantic Ocean,Mediterranean Sea,0.016375
Atlantic Ocean,,0.008
Pacific Ocean,,2.1
Pacific Ocean,,1.162565
Pacific Ocean,,2.189049
Atlantic Ocean,,555.66
Atlantic Ocean,Caribbean Sea,0.002
Atlantic Ocean,,0.097192
Atlantic Ocean,,0.00324
Atlantic Ocean,,0.007856
Atlantic Ocean,,0.01512
Atlantic Ocean,,0.140388
Atlantic Ocean,Gulf of Mexico,1000
Pacific Ocean,,3.551559
Pacific Ocean,,5.997055
Pacific Ocean,Gulf of California,4231.311707
Atlantic Ocean,,0.004
Atlantic Ocean,,0.005
Atlantic Ocean,,0.022
Pacific Ocean,,0.041396
Pacific Ocean,,2.818452
Pacific Ocean,,0.49
Pacific Ocean,,0.001
Atlantic Ocean,Caribbean Sea,0.001
Pacific Ocean,,2.220469
Atlantic Ocean,Mediterranean Sea,0.912
Atlantic Ocean,,40
Atlantic Ocean,Mediterranean Sea,0.218413
Atlantic Ocean,,0.016313
Atlantic Ocean,,0.00648
Atlantic Ocean,,0.00216
Atlantic Ocean,,0.057574
Atlantic Ocean,Mediterranean Sea,11.196078
Atlantic Ocean,Mediterranean Sea,0.716667
Atlantic Ocean,Mediterranean Sea,2.34786
Atlantic Ocean,,0.01512
Atlantic Ocean,,0.00864
Pacific Ocean,,2.59128
Pacific Ocean,,1.894
Pacific Ocean,,0.605422
Pacific Ocean,,0.013
Pacific Ocean,Gulf of California,1410.437236
Atlantic Ocean,,0.075988
Atlantic Ocean,,0.00864
Atlantic Ocean,,0.192579
Atlantic Ocean,,0.002
Atlantic Ocean,Gulf of Mexico,0.001348
Atlantic Ocean,,0.00864
Pacific Ocean,,2.712124
Pacific Ocean,,0.00216
Atlantic Ocean,,0.00648
Atlantic Ocean,,0.00432
Atlantic Ocean,Caribbean Sea,0.666667
Atlantic Ocean,,0.003
Atlantic Ocean,,0.049
Pacific Ocean,,19.124298
Pacific Ocean,,0.001384
Atlantic Ocean,Caribbean Sea,0.0027
Atlantic Ocean,Irish Sea and St. George's Channel,0.066703
Arctic Ocean,Norwegian Sea,0.041683
Pacific Ocean,,0.00216
Atlantic Ocean,Mediterranean Sea,1.14324
Atlantic Ocean,Mediterranean Sea,3.203462
Pacific Ocean,,0.013169
Atlantic Ocean,Inner Seas off the West Coast of Scotland,0.096683
Atlantic Ocean,Mediterranean Sea,1.013376
Atlantic Ocean,Mediterranean Sea,0.436
Atlantic Ocean,,0.053377
Atlantic Ocean,,0.079912
Atlantic Ocean,,0.26782
Atlantic Ocean,,0.097164
Atlantic Ocean,,0.012344
Atlantic Ocean,,0.01512
Pacific Ocean,,1.743582
Pacific Ocean,,0.001
Atlantic Ocean,,0.043196
Atlantic Ocean,,57680
Pacific Ocean,,0.945
Atlantic Ocean,,0.019936
Atlantic Ocean,,0.035096
Atlantic Ocean,,0.00926
Atlantic Ocean,,0.00432
Atlantic Ocean,,0.005716
Atlantic Ocean,Gulf of Mexico,3.4
Atlantic Ocean,,0.006
Pacific Ocean,,0.326132
Atlantic Ocean,Gulf of Mexico,5.8
Atlantic Ocean,Caribbean Sea,0.00432
Atlantic Ocean,Caribbean Sea,0.02376
Atlantic Ocean,Caribbean Sea,0.00648
Atlantic Ocean,,0.00864
Atlantic Ocean,,0.00432
Atlantic Ocean,,0.012
Pacific Ocean,,0.452324
Atlantic Ocean,Caribbean Sea,0.00216
Pacific Ocean,,0.036
Pacific Ocean,,0.00216
Pacific Ocean,,1.550254
Atlantic Ocean,English Channel,0.114039
Atlantic Ocean,North Sea,0.034858
Atlantic Ocean,Inner Seas off the West Coast of Scotland,0.053303
